start_time, end_time, duration, vote_mechanism, vote_name, short_id
2021-07-26 17:11:02.280, 2021-07-26 17:11:09.432, 7, Modified Borda Count, Vote 16, 15457
2021-07-23 17:12:19.815, 2021-07-23 17:15:37.286, 197, Majority Voting, Vote 01, 16944
2021-07-23 17:15:42.548, 2021-07-23 17:16:17.081, 34, Combined Approval, Vote 02, 16944
2021-07-23 17:16:22.199, 2021-07-23 17:16:55.632, 33, Score Voting, Vote 03, 16944
2021-07-23 17:17:01.475, 2021-07-23 17:18:13.120, 71, Modified Borda Count, Vote 04, 16944
2021-07-23 17:18:18.368, 2021-07-23 17:18:25.310, 6, Majority Voting, Vote 05, 16944
2021-07-23 17:18:30.445, 2021-07-23 17:18:47.759, 17, Combined Approval, Vote 06, 16944
2021-07-23 17:18:53.649, 2021-07-23 17:19:03.609, 9, Score Voting, Vote 07, 16944
2021-07-23 17:19:08.668, 2021-07-23 17:19:29.130, 20, Modified Borda Count, Vote 08, 16944
2021-07-23 17:19:34.644, 2021-07-23 17:19:46.374, 11, Majority Voting, Vote 09, 16944
2021-07-23 17:19:51.453, 2021-07-23 17:20:03.468, 12, Combined Approval, Vote 10, 16944
2021-07-23 17:20:08.632, 2021-07-23 17:20:44.443, 35, Score Voting, Vote 11, 16944
2021-07-23 17:20:49.464, 2021-07-23 17:21:11.190, 21, Modified Borda Count, Vote 12, 16944
2021-07-23 17:21:16.481, 2021-07-23 17:21:34.923, 18, Majority Voting, Vote 13, 16944
2021-07-23 17:21:39.903, 2021-07-23 17:21:58.287, 18, Combined Approval, Vote 14, 16944
2021-07-23 17:22:03.095, 2021-07-23 17:22:49.145, 46, Score Voting, Vote 15, 16944
2021-07-23 17:22:54.036, 2021-07-23 17:23:31.055, 37, Modified Borda Count, Vote 16, 16944
2021-07-23 17:09:05.193, 2021-07-23 17:09:55.043, 49, Majority Voting, Vote 01, 23757
2021-07-23 17:10:00.720, 2021-07-23 17:10:28.280, 27, Combined Approval, Vote 02, 23757
2021-07-23 17:10:33.696, 2021-07-23 17:11:01.354, 27, Score Voting, Vote 03, 23757
2021-07-23 17:11:08.105, 2021-07-23 17:11:56.559, 48, Modified Borda Count, Vote 04, 23757
2021-07-23 17:12:01.889, 2021-07-23 17:12:30.110, 28, Majority Voting, Vote 05, 23757
2021-07-23 17:12:35.347, 2021-07-23 17:13:01.600, 26, Combined Approval, Vote 06, 23757
2021-07-23 17:13:06.814, 2021-07-23 17:13:48.366, 41, Score Voting, Vote 07, 23757
2021-07-23 17:13:53.512, 2021-07-23 17:14:18.657, 25, Modified Borda Count, Vote 08, 23757
2021-07-23 17:14:23.824, 2021-07-23 17:14:58.798, 34, Majority Voting, Vote 09, 23757
2021-07-23 17:15:04.036, 2021-07-23 17:15:17.030, 12, Combined Approval, Vote 10, 23757
2021-07-23 17:15:23.325, 2021-07-23 17:16:19.964, 56, Score Voting, Vote 11, 23757
2021-07-23 17:16:25.058, 2021-07-23 17:16:44.523, 19, Modified Borda Count, Vote 12, 23757
2021-07-23 17:16:49.817, 2021-07-23 17:17:43.990, 54, Majority Voting, Vote 13, 23757
2021-07-23 17:20:33.757, 2021-07-23 17:20:51.365, 17, Combined Approval, Vote 14, 23757
2021-07-23 17:20:58.964, 2021-07-23 17:21:19.276, 20, Score Voting, Vote 15, 23757
2021-07-23 17:21:24.490, 2021-07-23 17:21:46.887, 22, Modified Borda Count, Vote 16, 23757
2021-07-26 17:12:47.618, 2021-07-26 17:12:58.887, 11, Majority Voting, Vote 01, 28655
2021-07-26 17:13:03.867, 2021-07-26 17:13:31.140, 27, Combined Approval, Vote 02, 28655
2021-07-26 17:13:36.558, 2021-07-26 17:14:12.369, 35, Score Voting, Vote 03, 28655
2021-07-26 17:14:17.282, 2021-07-26 17:14:46.616, 29, Modified Borda Count, Vote 04, 28655
2021-07-26 17:14:51.355, 2021-07-26 17:15:05.531, 14, Majority Voting, Vote 05, 28655
2021-07-26 17:15:26.938, 2021-07-26 17:15:45.582, 18, Combined Approval, Vote 06, 28655
2021-07-26 17:15:50.371, 2021-07-26 17:16:06.719, 16, Score Voting, Vote 07, 28655
2021-07-26 17:16:11.524, 2021-07-26 17:16:25.239, 13, Modified Borda Count, Vote 08, 28655
2021-07-26 17:16:30.344, 2021-07-26 17:16:36.628, 6, Majority Voting, Vote 09, 28655
2021-07-26 17:16:41.508, 2021-07-26 17:16:57.395, 15, Combined Approval, Vote 10, 28655
2021-07-26 17:17:02.099, 2021-07-26 17:17:20.456, 18, Score Voting, Vote 11, 28655
2021-07-26 17:17:25.256, 2021-07-26 17:17:42.374, 17, Modified Borda Count, Vote 12, 28655
2021-07-26 17:17:47.462, 2021-07-26 17:18:01.760, 14, Majority Voting, Vote 13, 28655
2021-07-26 17:18:06.548, 2021-07-26 17:18:16.934, 10, Combined Approval, Vote 14, 28655
2021-07-26 17:18:21.636, 2021-07-26 17:18:38.610, 16, Score Voting, Vote 15, 28655
2021-07-26 17:18:43.445, 2021-07-26 17:19:00.710, 17, Modified Borda Count, Vote 16, 28655
2021-07-26 17:10:07.910, 2021-07-26 17:10:27.582, 19, Majority Voting, Vote 01, 31121
2021-07-26 17:11:10.942, 2021-07-26 17:11:43.806, 32, Combined Approval, Vote 02, 31121
2021-07-26 17:10:32.201, 2021-07-26 17:11:06.026, 33, Score Voting, Vote 03, 31121
2021-07-26 17:11:48.837, 2021-07-26 17:12:51.606, 62, Modified Borda Count, Vote 04, 31121
2021-07-26 17:12:56.582, 2021-07-26 17:13:51.573, 54, Majority Voting, Vote 05, 31121
2021-07-26 17:13:57.224, 2021-07-26 17:14:23.486, 26, Combined Approval, Vote 06, 31121
2021-07-26 17:14:28.325, 2021-07-26 17:14:44.093, 15, Score Voting, Vote 07, 31121
2021-07-26 17:14:49.076, 2021-07-26 17:15:12.339, 23, Modified Borda Count, Vote 08, 31121
2021-07-26 17:15:17.242, 2021-07-26 17:15:22.616, 5, Majority Voting, Vote 09, 31121
2021-07-26 17:15:27.751, 2021-07-26 17:15:41.438, 13, Combined Approval, Vote 10, 31121
2021-07-26 17:15:46.318, 2021-07-26 17:15:59.692, 13, Score Voting, Vote 11, 31121
2021-07-26 17:16:04.632, 2021-07-26 17:16:32.540, 27, Modified Borda Count, Vote 12, 31121
2021-07-26 17:16:37.592, 2021-07-26 17:17:03.575, 25, Majority Voting, Vote 13, 31121
2021-07-26 17:17:08.624, 2021-07-26 17:17:20.918, 12, Combined Approval, Vote 14, 31121
2021-07-26 17:17:25.653, 2021-07-26 17:17:41.562, 15, Score Voting, Vote 15, 31121
2021-07-26 17:17:46.612, 2021-07-26 17:17:56.432, 9, Modified Borda Count, Vote 16, 31121
2021-07-26 17:13:44.580, 2021-07-26 17:14:30.158, 45, Majority Voting, Vote 01, 31326
2021-07-26 17:16:04.965, 2021-07-26 17:17:15.275, 70, Combined Approval, Vote 02, 31326
2021-07-26 17:14:35.389, 2021-07-26 17:15:59.666, 84, Score Voting, Vote 03, 31326
2021-07-26 17:17:20.750, 2021-07-26 17:19:18.132, 117, Modified Borda Count, Vote 04, 31326
2021-07-26 17:19:23.222, 2021-07-26 17:20:17.050, 53, Majority Voting, Vote 05, 31326
2021-07-26 17:20:22.406, 2021-07-26 17:21:38.796, 76, Combined Approval, Vote 06, 31326
2021-07-26 17:21:45.045, 2021-07-26 17:22:21.839, 36, Score Voting, Vote 07, 31326
2021-07-26 17:22:27.388, 2021-07-26 17:22:54.199, 26, Modified Borda Count, Vote 08, 31326
2021-07-26 17:22:59.289, 2021-07-26 17:23:28.715, 29, Majority Voting, Vote 09, 31326
2021-07-26 17:23:33.610, 2021-07-26 17:24:45.701, 72, Combined Approval, Vote 10, 31326
2021-07-26 17:24:50.807, 2021-07-26 17:25:19.204, 28, Score Voting, Vote 11, 31326
