start_time, end_time, duration, vote_mechanism, vote_name, short_id
2021-07-23 17:10:00.720, 2021-07-23 17:10:28.280, 27, Combined Approval, Vote 02, 23757
2021-07-23 17:10:33.696, 2021-07-23 17:11:01.354, 27, Score Voting, Vote 03, 23757
2021-07-23 17:11:08.105, 2021-07-23 17:11:56.559, 48, Modified Borda Count, Vote 04, 23757
2021-07-23 17:12:01.889, 2021-07-23 17:12:30.110, 28, Majority Voting, Vote 05, 23757
2021-07-23 17:12:35.347, 2021-07-23 17:13:01.600, 26, Combined Approval, Vote 06, 23757
2021-07-23 17:13:06.814, 2021-07-23 17:13:48.366, 41, Score Voting, Vote 07, 23757
2021-07-23 17:13:53.512, 2021-07-23 17:14:18.657, 25, Modified Borda Count, Vote 08, 23757
2021-07-23 17:14:23.824, 2021-07-23 17:14:58.798, 34, Majority Voting, Vote 09, 23757
2021-07-23 17:15:04.036, 2021-07-23 17:15:17.030, 12, Combined Approval, Vote 10, 23757
2021-07-23 17:15:23.325, 2021-07-23 17:16:19.964, 56, Score Voting, Vote 11, 23757
2021-07-23 17:16:25.058, 2021-07-23 17:16:44.523, 19, Modified Borda Count, Vote 12, 23757
2021-07-23 17:16:49.817, 2021-07-23 17:17:43.990, 54, Majority Voting, Vote 13, 23757
2021-07-23 17:20:33.757, 2021-07-23 17:20:51.365, 17, Combined Approval, Vote 14, 23757
2021-07-23 17:20:58.964, 2021-07-23 17:21:19.276, 20, Score Voting, Vote 15, 23757
2021-07-23 17:21:24.490, 2021-07-23 17:21:46.887, 22, Modified Borda Count, Vote 16, 23757
2021-01-20 09:16:11.773, 2021-01-20 09:16:50.741, 38, Majority Voting, Vote 01, 27972
2021-01-20 09:16:56.564, 2021-01-20 09:17:15.778, 19, Combined Approval, Vote 02, 27972
2021-01-20 09:17:21.083, 2021-01-20 09:17:56.927, 35, Score Voting, Vote 03, 27972
2021-01-20 09:18:02.051, 2021-01-20 09:19:21.340, 79, Modified Borda Count, Vote 04, 27972
2021-01-20 09:19:28.300, 2021-01-20 09:19:55.367, 27, Majority Voting, Vote 05, 27972
2021-01-20 09:20:00.479, 2021-01-20 09:20:14.823, 14, Combined Approval, Vote 06, 27972
2021-01-20 09:20:20.217, 2021-01-20 09:20:40.815, 20, Score Voting, Vote 07, 27972
2021-01-20 09:20:45.894, 2021-01-20 09:21:13.462, 27, Modified Borda Count, Vote 08, 27972
2021-01-20 09:21:19.380, 2021-01-20 09:21:30.507, 11, Majority Voting, Vote 09, 27972
2021-01-20 09:21:35.721, 2021-01-20 09:21:52.245, 16, Combined Approval, Vote 10, 27972
2021-01-20 09:21:57.292, 2021-01-20 09:22:15.774, 18, Score Voting, Vote 11, 27972
2021-01-20 09:22:21.061, 2021-01-20 09:22:35.945, 14, Modified Borda Count, Vote 12, 27972
2021-01-20 09:22:41.082, 2021-01-20 09:22:55.068, 13, Majority Voting, Vote 13, 27972
2021-01-20 09:23:03.170, 2021-01-20 09:23:16.754, 13, Combined Approval, Vote 14, 27972
2021-01-20 09:23:21.693, 2021-01-20 09:23:37.976, 16, Score Voting, Vote 15, 27972
2021-01-20 09:23:42.911, 2021-01-20 09:24:04.103, 21, Modified Borda Count, Vote 16, 27972
2021-01-20 19:59:06.813, 2021-01-20 19:59:14.640, 7, Majority Voting, Vote 01, 32359
2021-01-20 19:59:51.894, 2021-01-20 20:00:09.516, 17, Combined Approval, Vote 02, 32359
2021-01-20 20:00:16.415, 2021-01-20 20:01:09.347, 52, Score Voting, Vote 03, 32359
2021-01-20 20:01:23.141, 2021-01-20 20:02:43.340, 80, Modified Borda Count, Vote 04, 32359
2021-01-20 20:02:49.081, 2021-01-20 20:04:59.940, 130, Majority Voting, Vote 05, 32359
2021-01-20 20:05:06.608, 2021-01-20 20:06:38.971, 92, Combined Approval, Vote 06, 32359
2021-01-20 20:06:50.210, 2021-01-20 20:07:16.143, 25, Score Voting, Vote 07, 32359
2021-01-20 20:07:23.134, 2021-01-20 20:07:39.878, 16, Modified Borda Count, Vote 08, 32359
2021-01-20 20:07:47.350, 2021-01-20 20:08:54.338, 66, Majority Voting, Vote 09, 32359
2021-01-20 20:09:01.397, 2021-01-20 20:09:23.576, 22, Combined Approval, Vote 10, 32359
2021-01-20 20:09:29.952, 2021-01-20 20:09:40.038, 10, Score Voting, Vote 11, 32359
2021-01-20 20:09:48.895, 2021-01-20 20:10:06.502, 17, Modified Borda Count, Vote 12, 32359
2021-01-20 20:10:13.708, 2021-01-20 20:11:18.272, 64, Majority Voting, Vote 13, 32359
2021-01-20 20:12:21.201, 2021-01-20 20:12:48.011, 26, Combined Approval, Vote 14, 32359
2021-01-20 20:12:55.034, 2021-01-20 20:13:07.158, 12, Score Voting, Vote 15, 32359
2021-01-20 20:13:15.083, 2021-01-20 20:13:27.677, 12, Modified Borda Count, Vote 16, 32359
