time, state, vote_mechanism, vote_name, short_id
2021-07-28 17:17:57.082, ["3"; "0"; "0"; "0"; "0"], Score Voting, Vote 07, 62174
2021-07-28 17:17:57.224, ["4"; "0"; "0"; "0"; "0"], Score Voting, Vote 07, 62174
2021-07-28 17:17:57.360, ["5"; "0"; "0"; "0"; "0"], Score Voting, Vote 07, 62174
2021-07-28 17:17:58.354, ["5"; "1"; "0"; "0"; "0"], Score Voting, Vote 07, 62174
2021-07-28 17:17:58.498, ["5"; "2"; "0"; "0"; "0"], Score Voting, Vote 07, 62174
2021-07-28 17:17:58.651, ["5"; "3"; "0"; "0"; "0"], Score Voting, Vote 07, 62174
2021-07-28 17:17:58.813, ["5"; "4"; "0"; "0"; "0"], Score Voting, Vote 07, 62174
2021-07-28 17:18:01.734, ["5"; "4"; "0"; "1"; "0"], Score Voting, Vote 07, 62174
2021-07-28 17:18:01.886, ["5"; "4"; "0"; "2"; "0"], Score Voting, Vote 07, 62174
2021-07-28 17:18:17.889, ["1"; "0"; "0"; "0"; "0"], Modified Borda Count, Vote 08, 62174
2021-07-28 17:18:18.983, ["2"; "1"; "0"; "0"; "0"], Modified Borda Count, Vote 08, 62174
2021-07-28 17:18:36.314, ["3"], Majority Voting, Vote 09, 62174
2021-07-28 17:18:50.891, ["0"; "0"; "0"; "1"; "0"], Combined Approval, Vote 10, 62174
2021-07-28 17:18:51.698, ["1"; "0"; "0"; "1"; "0"], Combined Approval, Vote 10, 62174
2021-07-28 17:18:52.467, ["1"; "0"; "0"; "1"; "1"], Combined Approval, Vote 10, 62174
2021-07-28 17:18:53.175, ["1"; "1"; "0"; "1"; "1"], Combined Approval, Vote 10, 62174
2021-07-28 17:19:06.078, ["0"; "0"; "0"; "1"; "0"], Score Voting, Vote 11, 62174
2021-07-28 17:19:06.247, ["0"; "0"; "0"; "2"; "0"], Score Voting, Vote 11, 62174
2021-07-28 17:19:06.383, ["0"; "0"; "0"; "3"; "0"], Score Voting, Vote 11, 62174
2021-07-28 17:19:06.544, ["0"; "0"; "0"; "4"; "0"], Score Voting, Vote 11, 62174
2021-07-28 17:19:06.681, ["0"; "0"; "0"; "5"; "0"], Score Voting, Vote 11, 62174
2021-07-28 17:19:08.378, ["0"; "1"; "0"; "5"; "0"], Score Voting, Vote 11, 62174
2021-07-28 17:19:08.539, ["0"; "2"; "0"; "5"; "0"], Score Voting, Vote 11, 62174
2021-07-28 17:19:08.700, ["0"; "3"; "0"; "5"; "0"], Score Voting, Vote 11, 62174
2021-07-28 17:19:08.843, ["0"; "4"; "0"; "5"; "0"], Score Voting, Vote 11, 62174
2021-07-28 17:19:11.050, ["0"; "4"; "0"; "5"; "1"], Score Voting, Vote 11, 62174
2021-07-28 17:19:11.212, ["0"; "4"; "0"; "5"; "2"], Score Voting, Vote 11, 62174
2021-07-28 17:19:11.340, ["0"; "4"; "0"; "5"; "3"], Score Voting, Vote 11, 62174
2021-07-28 17:19:12.922, ["1"; "4"; "0"; "5"; "3"], Score Voting, Vote 11, 62174
2021-07-28 17:19:13.314, ["2"; "4"; "0"; "5"; "3"], Score Voting, Vote 11, 62174
2021-07-28 17:19:14.554, ["3"; "4"; "0"; "5"; "3"], Score Voting, Vote 11, 62174
2021-07-28 17:19:17.451, ["3"; "4"; "1"; "5"; "3"], Score Voting, Vote 11, 62174
2021-07-28 17:19:27.792, ["0"; "0"; "0"; "0"; "1"], Modified Borda Count, Vote 12, 62174
2021-07-28 17:19:28.011, ["0"; "0"; "0"; "1"; "2"], Modified Borda Count, Vote 12, 62174
2021-07-28 17:19:28.496, ["0"; "1"; "0"; "2"; "3"], Modified Borda Count, Vote 12, 62174
2021-07-28 17:19:29.884, ["1"; "2"; "0"; "3"; "4"], Modified Borda Count, Vote 12, 62174
2021-07-28 17:19:32.635, ["1"; "2"; "0"; "4"; "3"], Modified Borda Count, Vote 12, 62174
